library_id,class,gmlid,name,description,librarycode,librarycode_codespace,glazing_ratio,glazing_ratio_uom,uvalue,uvalue_uom,transparency_fraction,emissivity_fraction,emissivity_side,reflectance_fraction,reflectance_wawelength_range,transmittance_fraction,transmittance_side,transmittance_wawelength_range,layered_construction_id,first_layer_gmlid
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0001,external_wall_brick_10cm,external_wall with total thickness 125 mm,,,,,5.999,W/(K.m2),,,,,,,,,LayeredConstr_id_0001,Layer_id_886b1e2c-421c-446f-997e-101210826990
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0002,external_wall_brick_12cm,external_wall with total thickness 150 mm,,,,,4.965,W/(K.m2),,,,,,,,,LayeredConstr_id_0002,Layer_id_579c0719-d2a0-4ef4-89d0-2d5059917daf
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0003,external_wall_brick_15cm,external_wall with total thickness 175 mm,,,,,4.235,W/(K.m2),,,,,,,,,LayeredConstr_id_0003,Layer_id_374d0be5-70c9-4205-a144-453d4a9ce23b
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0004,external_wall_brick_17cm,external_wall with total thickness 200 mm,,,,,3.692,W/(K.m2),,,,,,,,,LayeredConstr_id_0004,Layer_id_fd5c4ad2-7be0-4ed1-aa97-e4dd31b5142d
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0005,external_wall_brick_20cm,external_wall with total thickness 225 mm,,,,,3.272,W/(K.m2),,,,,,,,,LayeredConstr_id_0005,Layer_id_9f591143-3c7c-4696-bd91-3a7e24fd5e8a
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0006,external_wall_brick_25cm,external_wall with total thickness 275 mm,,,,,2.666,W/(K.m2),,,,,,,,,LayeredConstr_id_0006,Layer_id_212c22ae-aa27-4d5c-9176-428787fe1fbf
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0007,external_wall_brick_30cm,external_wall with total thickness 325 mm,,,,,2.25,W/(K.m2),,,,,,,,,LayeredConstr_id_0007,Layer_id_e2ff545a-e332-4cca-9bb4-bf14937361b1
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0008,internal_wall_brick_10cm,internal_wall with total thickness 125 mm,,,,,5.999,W/(K.m2),,,,,,,,,LayeredConstr_id_0008,Layer_id_7ba09ba6-cbca-4948-914b-ae4b1d890842
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0009,internal_wall_brick_12cm,internal_wall with total thickness 150 mm,,,,,4.965,W/(K.m2),,,,,,,,,LayeredConstr_id_0009,Layer_id_ebeffd2a-83f6-4a68-8073-8662e74e4cd5
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0010,internal_wall_brick_15cm,internal_wall with total thickness 175 mm,,,,,4.235,W/(K.m2),,,,,,,,,LayeredConstr_id_0010,Layer_id_8771bdbc-1ad6-4d61-b8da-0c1c714c663b
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0011,internal_wall_brick_17cm,internal_wall with total thickness 200 mm,,,,,3.692,W/(K.m2),,,,,,,,,LayeredConstr_id_0011,Layer_id_b4e3cf7e-b59a-47a3-acb2-e44f01be9511
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0012,internal_wall_brick_20cm,internal_wall with total thickness 225 mm,,,,,3.272,W/(K.m2),,,,,,,,,LayeredConstr_id_0012,Layer_id_21877514-5491-401f-b342-f6b128f9e75c
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0013,internal_wall_brick_25cm,internal_wall with total thickness 275 mm,,,,,2.666,W/(K.m2),,,,,,,,,LayeredConstr_id_0013,Layer_id_d194dd15-7a6c-4e91-ac5a-05aac6fbd358
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0014,internal_wall_brick_30cm,internal_wall with total thickness 325 mm,,,,,2.25,W/(K.m2),,,,,,,,,LayeredConstr_id_0014,Layer_id_0381addd-0fb0-452a-9516-5b6eeaab9acf
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0015,external_wall_brick_10cm_insul_25mm,external_wall with total thickness 150 mm (insulated wall),,,,,1.135,W/(K.m2),,,,,,,,,LayeredConstr_id_0015,Layer_id_db2a828c-9233-46b1-a581-d9b98b602061
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0016,external_wall_brick_10cm_insul_50mm,external_wall with total thickness 175 mm (insulated wall),,,,,0.627,W/(K.m2),,,,,,,,,LayeredConstr_id_0016,Layer_id_295a1987-50c2-46a8-8335-91f77f9c4a9a
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0017,external_wall_brick_10cm_insul_100mm,external_wall with total thickness 225 mm (insulated wall),,,,,0.331,W/(K.m2),,,,,,,,,LayeredConstr_id_0017,Layer_id_97789e3c-ff70-4223-8ecb-e8d6c6d5b53f
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0018,external_wall_brick_10cm_insul_125mm,external_wall with total thickness 250 mm (insulated wall),,,,,0.268,W/(K.m2),,,,,,,,,LayeredConstr_id_0018,Layer_id_57a66728-2a01-480d-8fc6-ede051ff9a7d
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0019,external_wall_brick_10cm_insul_150mm,external_wall with total thickness 275 mm (insulated wall),,,,,0.225,W/(K.m2),,,,,,,,,LayeredConstr_id_0019,Layer_id_9284a00a-0be0-49ea-8e24-694fa9daf75d
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0020,external_wall_brick_10cm_insul_200mm,external_wall with total thickness 325 mm (insulated wall),,,,,0.17,W/(K.m2),,,,,,,,,LayeredConstr_id_0020,Layer_id_8811d4f6-a212-4b9b-9aca-fb30aa07165d
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0021,external_wall_brick_12cm_insul_25mm,external_wall with total thickness 175 mm (insulated wall),,,,,1.092,W/(K.m2),,,,,,,,,LayeredConstr_id_0021,Layer_id_cdca43da-fa25-4f37-8e7a-02c51a4b9a9a
LayConst_lib_id_01,LayeredConstruction,LayeredConstr_id_0022,external_wall_brick_12cm_insul_50mm,external_wall with total thickness 200 mm (insulated wall),,,,,0.614,W/(K.m2),,,,,,,,,LayeredConstr_id_0022,Layer_id_59f23be4-ad07-40e7-b5c2-3c48d0710f5e
