library_id,parent_id,gmlid,name,description,thickness,thickness_uom,material_id,material_reference
LayConstLib_id_02,LayeredConstr_id_0001,Layer_id_886b1e2c-421c-446f-997e-101210826990,plaster_external,"plaster_external layer, 12 mm thick",12.5,mm,material_id_113,✔ Matched by ID (plaster_external)
LayConstLib_id_02,LayeredConstr_id_0001,Layer_id_60d0abc5-8375-488e-8fa7-0d97dd001e68,bricks_full,"bricks_full layer, 100 mm thick",100.0,mm,material_id_102,✔ Matched by ID (bricks_full)
LayConstLib_id_02,LayeredConstr_id_0001,Layer_id_26eb4e87-883a-4c50-be80-526d005aa59d,mortar,"mortar layer, 12 mm thick",12.5,mm,material_id_202,✔ Matched by ID (mortar)
LayConstLib_id_02,LayeredConstr_id_0002,Layer_id_579c0719-d2a0-4ef4-89d0-2d5059917daf,plaster_external,"plaster_external layer, 12 mm thick",12.5,mm,material_id_113,✔ Matched by ID (plaster_external)
LayConstLib_id_02,LayeredConstr_id_0002,Layer_id_00a02d31-3f2a-49d4-8b86-35f0abeacc6c,bricks_full,"bricks_full layer, 125 mm thick",125.0,mm,material_id_102,✔ Matched by ID (bricks_full)
LayConstLib_id_02,LayeredConstr_id_0002,Layer_id_d96d3995-8614-4554-b2c6-894a7a59acfd,mortar,"mortar layer, 12 mm thick",12.5,mm,material_id_202,✔ Matched by ID (mortar)
LayConstLib_id_02,LayeredConstr_id_0003,Layer_id_374d0be5-70c9-4205-a144-453d4a9ce23b,plaster_external,"plaster_external layer, 12 mm thick",12.5,mm,material_id_113,✔ Matched by ID (plaster_external)
LayConstLib_id_02,LayeredConstr_id_0003,Layer_id_a4a80fbc-8304-41a1-a36f-477f3fba2e34,bricks_full,"bricks_full layer, 150 mm thick",150.0,mm,material_id_102,✔ Matched by ID (bricks_full)
LayConstLib_id_02,LayeredConstr_id_0003,Layer_id_2ae93515-f1f5-4893-bfae-e590419b54ae,mortar,"mortar layer, 12 mm thick",12.5,mm,material_id_202,✔ Matched by ID (mortar)
LayConstLib_id_02,LayeredConstr_id_0004,Layer_id_fd5c4ad2-7be0-4ed1-aa97-e4dd31b5142d,plaster_external,"plaster_external layer, 12 mm thick",12.5,mm,material_id_113,✔ Matched by ID (plaster_external)
LayConstLib_id_02,LayeredConstr_id_0004,Layer_id_a5afc3f1-cc6b-4c3a-a08b-2f5fa5d918f3,bricks_full,"bricks_full layer, 175 mm thick",175.0,mm,material_id_102,✔ Matched by ID (bricks_full)
LayConstLib_id_02,LayeredConstr_id_0004,Layer_id_b8ccd8ad-a4b0-4177-9fa5-73f2a0c98e0e,mortar,"mortar layer, 12 mm thick",12.5,mm,material_id_202,✔ Matched by ID (mortar)
LayConstLib_id_02,LayeredConstr_id_0005,Layer_id_9f591143-3c7c-4696-bd91-3a7e24fd5e8a,plaster_external,"plaster_external layer, 12 mm thick",12.5,mm,material_id_113,✔ Matched by ID (plaster_external)
LayConstLib_id_02,LayeredConstr_id_0005,Layer_id_5cc8d210-788b-415f-928e-944b7c07aaee,bricks_full,"bricks_full layer, 200 mm thick",200.0,mm,material_id_102,✔ Matched by ID (bricks_full)
LayConstLib_id_02,LayeredConstr_id_0005,Layer_id_3b5e4029-f34f-41d4-afaa-ea2955a53614,mortar,"mortar layer, 12 mm thick",12.5,mm,material_id_202,✔ Matched by ID (mortar)
LayConstLib_id_02,LayeredConstr_id_0006,Layer_id_212c22ae-aa27-4d5c-9176-428787fe1fbf,plaster_external,"plaster_external layer, 12 mm thick",12.5,mm,material_id_113,✔ Matched by ID (plaster_external)
LayConstLib_id_02,LayeredConstr_id_0006,Layer_id_c7f7ec9d-98dc-4959-9a96-d61ce3662fa1,bricks_full,"bricks_full layer, 250 mm thick",250.0,mm,material_id_102,✔ Matched by ID (bricks_full)
LayConstLib_id_02,LayeredConstr_id_0006,Layer_id_11039db3-cae4-43b1-992b-b5b1e40258fd,mortar,"mortar layer, 12 mm thick",12.5,mm,material_id_202,✔ Matched by ID (mortar)
LayConstLib_id_02,LayeredConstr_id_0007,Layer_id_e2ff545a-e332-4cca-9bb4-bf14937361b1,plaster_external,"plaster_external layer, 12 mm thick",12.5,mm,material_id_113,✔ Matched by ID (plaster_external)
LayConstLib_id_02,LayeredConstr_id_0007,Layer_id_b8eb612c-b93b-42b2-b12f-5b88c8c27b2d,bricks_full,"bricks_full layer, 300 mm thick",300.0,mm,material_id_102,✔ Matched by ID (bricks_full)
LayConstLib_id_02,LayeredConstr_id_0007,Layer_id_27cbb506-0516-404b-ad8a-43ca94555265,mortar,"mortar layer, 12 mm thick",12.5,mm,material_id_202,✔ Matched by ID (mortar)
LayConstLib_id_02,LayeredConstr_id_0008,Layer_id_7ba09ba6-cbca-4948-914b-ae4b1d890842,plaster_external,"plaster_external layer, 12 mm thick",12.5,mm,material_id_113,✔ Matched by ID (plaster_external)
LayConstLib_id_02,LayeredConstr_id_0008,Layer_id_f325f06b-76c3-4e25-a75b-3f3644415693,bricks_full,"bricks_full layer, 100 mm thick",100.0,mm,material_id_102,✔ Matched by ID (bricks_full)
LayConstLib_id_02,LayeredConstr_id_0008,Layer_id_ed9e8517-62ba-4a44-bf1b-1089ad2e0063,mortar,"mortar layer, 12 mm thick",12.5,mm,material_id_202,✔ Matched by ID (mortar)
LayConstLib_id_02,LayeredConstr_id_0009,Layer_id_ebeffd2a-83f6-4a68-8073-8662e74e4cd5,plaster_external,"plaster_external layer, 12 mm thick",12.5,mm,material_id_113,✔ Matched by ID (plaster_external)
LayConstLib_id_02,LayeredConstr_id_0009,Layer_id_3189fa31-a9d6-4309-a7f4-b65982a1aab1,bricks_full,"bricks_full layer, 125 mm thick",125.0,mm,material_id_102,✔ Matched by ID (bricks_full)
LayConstLib_id_02,LayeredConstr_id_0009,Layer_id_1580c510-0f8a-4d48-82c6-f056e2949489,mortar,"mortar layer, 12 mm thick",12.5,mm,material_id_202,✔ Matched by ID (mortar)
LayConstLib_id_02,LayeredConstr_id_0010,Layer_id_8771bdbc-1ad6-4d61-b8da-0c1c714c663b,plaster_external,"plaster_external layer, 12 mm thick",12.5,mm,material_id_113,✔ Matched by ID (plaster_external)
LayConstLib_id_02,LayeredConstr_id_0010,Layer_id_9fc471c9-2859-49d8-b0a5-30c0fa5ad8e8,bricks_full,"bricks_full layer, 150 mm thick",150.0,mm,material_id_102,✔ Matched by ID (bricks_full)
LayConstLib_id_02,LayeredConstr_id_0010,Layer_id_fc38bb63-f8b7-4771-ba7f-9ef6a62dd501,mortar,"mortar layer, 12 mm thick",12.5,mm,material_id_202,✔ Matched by ID (mortar)
LayConstLib_id_02,LayeredConstr_id_0011,Layer_id_b4e3cf7e-b59a-47a3-acb2-e44f01be9511,plaster_external,"plaster_external layer, 12 mm thick",12.5,mm,material_id_113,✔ Matched by ID (plaster_external)
LayConstLib_id_02,LayeredConstr_id_0011,Layer_id_f4856746-5ca4-4093-b86c-986dd38abbef,bricks_full,"bricks_full layer, 175 mm thick",175.0,mm,material_id_102,✔ Matched by ID (bricks_full)
LayConstLib_id_02,LayeredConstr_id_0011,Layer_id_454206f3-ba34-4c69-b6d2-382e66de25ea,mortar,"mortar layer, 12 mm thick",12.5,mm,material_id_202,✔ Matched by ID (mortar)
LayConstLib_id_02,LayeredConstr_id_0012,Layer_id_21877514-5491-401f-b342-f6b128f9e75c,plaster_external,"plaster_external layer, 12 mm thick",12.5,mm,material_id_113,✔ Matched by ID (plaster_external)
LayConstLib_id_02,LayeredConstr_id_0012,Layer_id_ebf557a4-777f-45e5-afd2-cb69b3097702,bricks_full,"bricks_full layer, 200 mm thick",200.0,mm,material_id_102,✔ Matched by ID (bricks_full)
LayConstLib_id_02,LayeredConstr_id_0012,Layer_id_10af81bb-7ffc-451c-a6e3-8cc85fb7d595,mortar,"mortar layer, 12 mm thick",12.5,mm,material_id_202,✔ Matched by ID (mortar)
LayConstLib_id_02,LayeredConstr_id_0013,Layer_id_d194dd15-7a6c-4e91-ac5a-05aac6fbd358,plaster_external,"plaster_external layer, 12 mm thick",12.5,mm,material_id_113,✔ Matched by ID (plaster_external)
LayConstLib_id_02,LayeredConstr_id_0013,Layer_id_76abddf4-496e-41eb-b2f4-f7161e658950,bricks_full,"bricks_full layer, 250 mm thick",250.0,mm,material_id_102,✔ Matched by ID (bricks_full)
