csv_line_id,element_id,thematic_surface,parent_id,element_gml_id,has_holes,related_to,geometry_wkt,construction_gmlid
2,1,room,0,ccb90ca2-7baf-47a8-a5d8-278193cf60ff,,[],,
3,2,party_wall,1,ad8fb13b-5e6c-4d42-8483-8ad2c4d3a971,False,[12],"MULTIPOLYGON Z (((-39.014 22.381 6.657, -39.119 29.884 6.657, -39.119 29.884 3.052, -39.014 22.381 3.052, -39.014 22.381 6.657)))",LayeredConstr_id_0013
4,3,external,1,cf131054-1bb6-4422-9813-61260fcecce7,False,[],"MULTIPOLYGON Z (((-39.119 29.884 6.657, -31.666 29.983 6.657, -31.666 29.983 3.052, -39.119 29.884 3.052, -39.119 29.884 6.657)))",LayeredConstr_id_0119
5,3,external_with_hole,1,cf131054-1bb6-4422-9813-61260fcecce7,True,[],"MULTIPOLYGON Z (((-31.666 29.983000000000004 6.657, -31.666 29.983000000000004 3.052, -39.119 29.884000000000004 3.052, -39.119 29.884000000000004 6.657, -31.666 29.983000000000004 6.657), (-32.120999417301256 29.97695613279045 4.519, -38.96999972379723 29.885979206674374 4.519, -38.96999972379723 29.885979206674374 5.912, -32.120999417301256 29.97695613279045 5.912, -32.120999417301256 29.97695613279045 4.519)))",LayeredConstr_id_0119
6,5,external,1,6def5ba8-b612-4ea6-8ea6-39e4e24c7ef0,False,[],"MULTIPOLYGON Z (((-31.666 29.983 3.052, -31.666 29.983 6.657, -31.513 22.966 6.657, -31.513 22.966 3.052, -31.666 29.983 3.052)))",LayeredConstr_id_0114
7,6,external,1,3155c048-a981-4bee-8c61-426358ed7a1d,False,[],"MULTIPOLYGON Z (((-31.513 22.966 3.052, -31.513 22.966 6.657, -31.502 22.488 6.657, -31.502 22.488 3.052, -31.513 22.966 3.052)))",LayeredConstr_id_0003
8,7,party_wall,1,9d8e4b77-803f-407d-a657-359b85abbc94,False,[23],"MULTIPOLYGON Z (((-31.502 22.488 6.657, -39.014 22.381 6.657, -39.014 22.381 3.052, -31.502 22.488 3.052, -31.502 22.488 6.657)))",LayeredConstr_id_0014
9,7,party_wall_with_hole,1,9d8e4b77-803f-407d-a657-359b85abbc94,True,[23],"MULTIPOLYGON Z (((-39.014 22.381 6.657, -31.502 22.488 6.657, -31.502 22.488 3.052, -39.014 22.381 3.052, -39.014 22.381 6.657), (-34.1779983393098 22.449883410236136 3.771, -34.1779983393098 22.449883410236136 5.841, -33.37599013064709 22.461307116083702 5.841, -33.37599013064709 22.461307116083702 3.771, -34.1779983393098 22.449883410236136 3.771)))",LayeredConstr_id_0014
10,10,ceiling,1,24f36bbb-d594-4cfd-b9e9-bc65776eb5e6,False,[],"MULTIPOLYGON Z (((-39.014 22.381 6.657, -31.502 22.488 6.657, -31.513 22.966 6.657, -31.666 29.983 6.657, -39.119 29.884 6.657, -39.014 22.381 6.657)))",LayeredConstr_id_0108
11,9,floor,1,4a4dfedc-8317-4d1d-9c29-d5534011c4d7,False,[],"MULTIPOLYGON Z (((-39.014 22.381 3.052, -39.119 29.884 3.052, -31.666 29.983 3.052, -31.513 22.966 3.052, -31.502 22.488 3.052, -39.014 22.381 3.052)))",LayeredConstr_id_0109
12,4,window,3,9d97f1c0-a8e2-4a34-991a-09629c26a70c,True,[],"MULTIPOLYGON Z (((-38.97 29.886 4.519, -38.97 29.886 5.912, -32.121 29.977 5.912, -32.121 29.977 4.519, -38.97 29.886 4.519)))",LayeredConstr_id_0106
13,8,door,7,014e1bc7-32e6-47ce-9999-09d86a037ef1,True,[24],"MULTIPOLYGON Z (((-33.376 22.462 3.771, -33.376 22.462 5.841, -34.178 22.45 5.841, -34.178 22.45 3.771, -33.376 22.462 3.771)))",
14,11,room,0,e51dec67-3631-415b-821a-7abda2ab0493,,[],,
15,12,party_wall,11,faf8a807-01e8-4499-a3de-9dd634a7ca52,False,[2],"MULTIPOLYGON Z (((-39.119 29.884 6.657, -39.014 22.381 6.657, -39.014 22.381 3.052, -39.119 29.884 3.052, -39.119 29.884 6.657)))",LayeredConstr_id_0013
16,13,party_wall,11,12e9837d-af67-41dd-a733-e4577ff08e9b,False,[21],"MULTIPOLYGON Z (((-39.014 22.381 6.657, -46.195 22.278 6.657, -46.195 22.278 3.052, -39.014 22.381 3.052, -39.014 22.381 6.657)))",LayeredConstr_id_0014
17,13,party_wall_with_hole,11,12e9837d-af67-41dd-a733-e4577ff08e9b,True,[21],"MULTIPOLYGON Z (((-46.195 22.277999999999995 6.657, -46.195 22.277999999999995 3.052, -39.014 22.380999999999997 3.052, -39.014 22.380999999999997 6.657, -46.195 22.277999999999995 6.657), (-41.47201066797319 22.345743754518693 5.887, -41.47201066797319 22.345743754518693 3.723, -39.31001081774817 22.37675419659823 3.723, -39.31001081774817 22.37675419659823 5.887, -41.47201066797319 22.345743754518693 5.887)))",LayeredConstr_id_0014
18,15,party_wall,11,1df956f7-e521-45a6-81f2-baade448072f,False,[62],"MULTIPOLYGON Z (((-46.195 22.278 6.657, -46.396 29.788 6.657, -46.396 29.788 3.052, -46.195 22.278 3.052, -46.195 22.278 6.657)))",LayeredConstr_id_0014
19,16,external,11,8e6ee283-d6a6-4df2-a686-5a584f8ae404,False,[],"MULTIPOLYGON Z (((-46.396 29.788 6.657, -39.119 29.884 6.657, -39.119 29.884 3.052, -46.396 29.788 3.052, -46.396 29.788 6.657)))",LayeredConstr_id_0119
20,16,external_with_hole,11,8e6ee283-d6a6-4df2-a686-5a584f8ae404,True,[],"MULTIPOLYGON Z (((-39.119 29.884 6.657, -39.119 29.884 3.052, -46.396 29.788 3.052, -46.396 29.788 6.657, -39.119 29.884 6.657), (-39.341987576756225 29.881058292240127 4.594, -46.193995579181276 29.79066489273033 4.594, -46.193995579181276 29.79066489273033 5.802, -39.341987576756225 29.881058292240127 5.802, -39.341987576756225 29.881058292240127 4.594)))",LayeredConstr_id_0119
21,19,ceiling,11,0dbaa43a-4b1b-4e69-9eed-90f45fcefa4e,False,[],"MULTIPOLYGON Z (((-39.119 29.884 6.657, -46.396 29.788 6.657, -46.195 22.278 6.657, -39.014 22.381 6.657, -39.119 29.884 6.657)))",LayeredConstr_id_0108
22,18,floor,11,13b617b7-90af-4c06-8bdc-58d2ee998c70,False,[],"MULTIPOLYGON Z (((-39.119 29.884 3.052, -39.014 22.381 3.052, -46.195 22.278 3.052, -46.396 29.788 3.052, -39.119 29.884 3.052)))",LayeredConstr_id_0109
23,14,door,13,db19b702-8b6f-47d2-ba64-97c90fca14ed,True,[22],"MULTIPOLYGON Z (((-41.472 22.345 3.723, -39.31 22.376 3.723, -39.31 22.376 5.887, -41.472 22.345 5.887, -41.472 22.345 3.723)))",
24,17,window,16,d54b0f0a-e7f7-4794-aeee-74c2cff56f70,True,[],"MULTIPOLYGON Z (((-46.194 29.791 4.594, -46.194 29.791 5.802, -39.342 29.882 5.802, -39.342 29.882 4.594, -46.194 29.791 4.594)))",LayeredConstr_id_0106
25,20,room,0,911343a0-428c-4597-8824-fa557c60f691,,[],,
26,21,party_wall,20,7c80e0c0-bf1b-425a-8006-960c9dec539a,False,[13],"MULTIPOLYGON Z (((-46.195 22.278 6.657, -39.014 22.381 6.657, -39.014 22.381 3.052, -46.195 22.278 3.052, -46.195 22.278 6.657)))",LayeredConstr_id_0014
27,21,party_wall_with_hole,20,7c80e0c0-bf1b-425a-8006-960c9dec539a,True,[13],"MULTIPOLYGON Z (((-39.014 22.381 6.657, -39.014 22.381 3.052, -46.195 22.278 3.052, -46.195 22.278 6.657, -39.014 22.381 6.657), (-39.31001081774817 22.376754196598238 3.723, -41.47201066797319 22.345743754518697 3.723, -41.47201066797319 22.345743754518697 5.887, -39.31001081774817 22.376754196598238 5.887, -39.31001081774817 22.376754196598238 3.723)))",LayeredConstr_id_0014
28,23,party_wall,20,d8d87fb7-e52d-4401-84de-2d48c4c8dc90,False,[7],"MULTIPOLYGON Z (((-39.014 22.381 6.657, -31.502 22.488 6.657, -31.502 22.488 3.052, -39.014 22.381 3.052, -39.014 22.381 6.657)))",LayeredConstr_id_0014
29,23,party_wall_with_hole,20,d8d87fb7-e52d-4401-84de-2d48c4c8dc90,True,[7],"MULTIPOLYGON Z (((-31.502 22.488 6.657, -31.502 22.488 3.052, -39.014 22.381 3.052, -39.014 22.381 6.657, -31.502 22.488 6.657), (-33.37599013064709 22.461307116083702 5.841, -33.37599013064709 22.461307116083702 3.771, -34.1779983393098 22.449883410236136 3.771, -34.1779983393098 22.449883410236136 5.841, -33.37599013064709 22.461307116083702 5.841)))",LayeredConstr_id_0014
